name,rating,tags,similar
aksentt tech services,4.5,"Telecom, IT Services & Consulting, Software Product, Public",
akshar elecinfra,4.2,Engineering & Construction,
akshara enterprises,4,IT Services & Consulting,
akshaya,4.1,"Real Estate, Engineering & Construction",
akshaya patra foundation,4.2,Non-Profit,
akumentis healthcare,3.6,Healthcare,
akums drugs & pharmaceuticals,4,Pharma,
akzo nobel india,4.2,"Chemicals / Agri Inputs, Manufacturing, Chemicals, Forbes Global 2000, Fortune India 500, Public",
al adrak trading and contracting,3.8,Engineering & Construction,
al ahleia switchgear,3.4,"Industrial Machinery, Manufacturing",
al ayuni investment and contracting,4.4,Engineering & Construction,
al bawani,3.7,Engineering & Construction,
al fara'a group,3.7,Engineering & Construction,
al gihaz holding,4.4,Electronics Manufacturing,
al hassan engineering company saog,4.2,Engineering & Construction,
al jaber energy services llc,4.6,"Power, Oil & Gas",
al jaber group,4.2,"Logistics / Shipping, Urban Transport, Engineering & Construction",
al maha foods international,4,Food Processing,
al muzain,4.2,Oil & Gas,
al rashid trading and contracting company,4.2,"Real Estate, Engineering & Construction",
al shifa college of pharmacy perinthalmanna,96,,
al shifa multispeciality hospital,4.3,"Healthcare / Pharma, Healthcare",
al tasnim enterprises,3.8,"Metals & Mining, Oil / Gas / Petro Chemicals, Engineering & Construction",
al turki enterprises,3.6,"Power, Engineering & Construction, Oil & Gas",
al yamama company,3.6,Engineering & Construction,
al-futtaim group,3.9,"Real Estate, Retail, Conglomerate",
al-suwaidi industrial services,4.2,Oil & Gas,
alacrity ecommerce solutions,3.4,IT Services & Consulting,
albert david,3.9,"Chemicals / Agri Inputs, Manufacturing, Pharma, Public",
alcatel-lucent,4.3,"Telecom, Analytics & KPO, Public",
alchem international,3.7,"Biotechnology, Pharma",
alchemist hospital,4.4,"Healthcare, Conglomerate",
alchemy solutions,3.9,"Education & Training, IT Services & Consulting",
alchemy techsol india,3.6,IT Services & Consulting,
alco foods,3.9,Not Available,
alembic,4.1,"Real Estate, Engineering & Construction, Pharma, Public",
alembic pharmaceuticals,4.1,"Real Estate, Engineering & Construction, Biotechnology, Pharma, Fortune India 500, Public",
alexis multispeciality hospital,4.5,Healthcare,
alf engineering,3.9,"Industrial Machinery, Urban Transport, Auto Components",
alfa laval,4,"Industrial Machinery, Metals & Mining, Power, Engineering & Construction, Forbes Global 2000",
alfanar,4.4,"Design, Manufacturing, Engineering & Construction, Electronics Manufacturing",
alghanim industries,4,"Automobile, Food Processing, Retail, Engineering & Construction, Conglomerate",
alghanim international,4,"Oil / Gas / Petro Chemicals, Power, Real Estate, Engineering & Construction",
algonomy,4.1,"Internet, Retail, Analytics & KPO, Hardware & Networking, IT Services & Consulting, Software Product",
algoworks technologies,4,"Hardware & Networking, IT Services & Consulting, Software Product",
alice blue commodities,3.6,FinTech,
alicon castalloy,3.9,"Automobile, Manufacturing, Engineering & Construction, Auto Components, Public",
aliens group,3.8,"Real Estate, Engineering & Construction",
aligarh muslim university,37,,
alight solutions,3.9,IT Services & Consulting,
alivira animal health,3.5,"Biotechnology, Pharma, Public",
aljaber engineering,4,Engineering & Construction,
alkem laboratories,4,"Biotechnology, Pharma, Fortune India 500, Public",
alkyl amines,4.5,"Chemicals / Agri Inputs, Manufacturing, Chemicals, Public",
all india institute of medical sciences bhubaneswar,26,,AIIMS Bhubaneshwar
all india institute of medical sciences delhi,1,,AIIMS Delhi
all india institute of medical sciences jodhpur,16,,AIIMS Jodhpur
all india institute of medical sciences raipur,49,,AIIMS Raipur
all india institute of medical sciences rishikesh,48,,AIIMS Rishikesh
all india radio,4.2,"Media & Entertainment / Publishing, Broadcasting",
all time plastics,3.6,Petrochemicals,
allahabad bank,4.1,"Financial Services, Banking",
allahabad high court,4.3,"Law Enforcement & Security, Federal Agencies, Government",
allana group of companies,3.8,Food Processing,
allanasons,3.8,"Agriculture, Food Processing, Import & Export",
allcargo logistics,4,"Logistics / Shipping, Logistics, Fortune India 500, Public",
allegis global solutions,4.3,Recruitment,
allegis group,3.8,Recruitment,
allen solly,4.2,"Retail, Fashion & Textile, Public",
allengers medical systems,3.9,"Medical Equipment, Public",
allergan,4.1,"Biotech & Life sciences, Manufacturing, Healthcare, Forbes Global 2000",
alliance group,3.8,"Manufacturing, Real Estate",
alliance india,4.1,"Internet, Non-Profit",
alliance university,98,,
allianz,4.3,"Financial Services, Insurance, Forbes Global 2000",
allianz partners,3.9,"Financial Services, Insurance",
allianz services,4.2,"Investment Banking / Venture Capital / Private Equity, IT Services & Consulting",
allianz technology,4.5,IT Services & Consulting,
allied blenders & distillers,4.1,Beverage,
allied digital services,3.6,"Facility Management Services, IT Services & Consulting, Public",
allied jb friction,4.2,Not Available,
allied nippon,3.7,"Manufacturing, Auto Components",
allscripts,4.3,"Internet, IT Services & Consulting",
allsec technologies,4,"Recruitment, Public",
allstate,4.2,"Financial Services, Analytics & KPO, Insurance, IT Services & Consulting, Forbes Global 2000",
allzone management solutions,4.3,Healthcare,
almarai,4.5,"Agriculture, FMCG, Food Processing, Forbes Global 2000",
almeer technical services w.l.l,4,Engineering & Construction,
alniche life sciences,3.7,Pharma,
aloft hotels,3.8,"Internet, Hospitality",
aloha technology,3.9,IT Services & Consulting,
alok industries,3.9,"Fashion & Textile, Engineering & Construction, Fortune India 500, Public",
alorica,3.2,BPO,
alp nishikawa,4,Auto Components,
alp overseas,3.9,Auto Components,
alpha design technologies,4,"Defence & Aerospace, Industrial Machinery, Manufacturing, Analytics & KPO",
alpha maier,3.8,Auto Components,
alphamed formulations,4.5,Pharma,
alpla,4,"Manufacturing, Plastics / Rubber, Printing / Packaging, Packaging",
alps industries,3.5,"Import & Export, Manufacturing, Fashion & Textile, Public",
alshaya group,4,"Beauty & Wellness, Food Processing, Retail",
alstom,4,"Automobile, Roads/Railways, Urban Transport, Engineering & Construction, Forbes Global 2000",
alstom transportation,4,"Manufacturing, Engineering & Construction",
alstrong enterprises,4.1,"Building Material, Manufacturing",
altair engineering,4.2,"Internet, Hardware & Networking, IT Services & Consulting, Software Product",
alten,3.8,IT Services & Consulting,
altezzasys,4.4,Financial Services,
altimetrik,4,IT Services & Consulting,
altisource,3.8,"Consulting, Financial Services, Real Estate",
altius customer services,3.7,BPO,
altos global services,3.8,"Consulting, BPO",
altruist customer management india,3.3,BPO,
altruist technologies,3,"Internet, IT Services & Consulting",
altruista health inc,3.9,IT Services & Consulting,
altum credo home finance,4,Financial Services,
aludecor lamination,4.1,"Architecture & Interior Design, Manufacturing, Plastics / Rubber, Printing / Packaging",
alufit india,4.3,"Architecture & Interior Design, Engineering & Construction",
alysj jv,4.5,"Real Estate, Engineering & Construction",
am infoweb,3.8,BPO,
amadeus,4.1,"Travel & Tourism, IT Services & Consulting, Forbes Global 2000",
amalgamations valeo clutch,4.4,"Financial Services, Auto Components",
amana toyota,4.2,Automobile,
amanora,4.3,"Real Estate, Public",
amanta healthcare,4.4,"Biotechnology, Pharma",
amar cars,3.7,Automobile,
amar shaheed baba ajit singh jujhar singh memorial college of pharmacy,56,,
amar ujala,3.9,"Media & Entertainment / Publishing, Printing & Publishing",
amara raja batteries,4.3,"Auto Components, Fortune India 500",
amara raja group,4.1,"Manufacturing, Electronics, Engineering & Construction, Electrical Equipment, Public",
amara raja infra,3.9,"Manufacturing, Engineering & Construction",
amara raja power systems,4,"Power, Auto Components",
amarprakash developers,3,"Real Estate, Engineering & Construction",
amartex industries,4.4,"Fashion & Textile, Public",
amazon,4.3,"Internet, Retail, Logistics, Emerging Technologies, Software Product, Media & Entertainment, Forbes Global 2000, Public",
amazon distribution ,4.2,Logistics,
amazon logistics,4.4,Logistics,
amazon pay,4.1,"Financial Services, Banking, FinTech",
amazon seller central,4.4,Internet,
amazon seller service,4.4,Retail,
amazon transportation services,4.3,"Logistics / Shipping, Retail, Logistics, IT Services & Consulting",
amazon web services,4.3,"Software Product, Public",
amber enterprises india,4.1,"Consumer goods, Internet, Industrial Machinery, Manufacturing, Consumer Electronics & Appliances, Fortune India 500, Public",
ambey mining,3.3,"Financial Services, Metals & Mining",
ambica steels,4.3,"Manufacturing, Metals & Mining",
ambience group,2.5,Real Estate,
ambit collective,4.6,"IT Services & Consulting, Accounting & Auditing",
ambit finvest,4,Not Available,
ambition job ,3.9,Recruitment,
ambrane india,4,"Internet, Consumer Electronics & Appliances, Startup",
ambuja cement foundation,4.2,"Non-Profit, Engineering & Construction",
ambuja cements,4,"Building Material, Engineering & Construction, Fortune India 500, Public",
ambuja realty,3.9,Real Estate,
ambujaneotia,4.4,Real Estate,
amco batteries,4.3,"Automobile, Manufacturing, Electronics, Auto Components, Public",
amco saft india,4.1,"Advertising / PR / Events, Electrical Equipment",
amcor flexibles india,3.9,"Food Processing, Printing / Packaging, Packaging, Forbes Global 2000",
amdocs,4.1,"Internet, Logistics / Shipping, Software Product, Forbes Global 2000",
amec foster wheeler,3.9,"Oil / Gas / Petro Chemicals, Power, Engineering & Construction, Oil & Gas",
ameex technologies,3.8,IT Services & Consulting,
amentum,4.4,"Airlines / Aviation / Aerospace, Defence & Aerospace, Logistics / Shipping",
american express,4.4,"Financial Services, Forbes Global 2000",
american express global business travel,4,"Travel & Tourism / Hospitality, Travel & Tourism",
american infosource,3.2,"Financial Services, IT Services & Consulting",
american institute of pathology andlaboratory sciences,4.4,"Analytics & KPO, Education & Training, Healthcare",
american tower corporation,3.9,"Telecom, Forbes Global 2000",
americana group,4,"Food Processing, Hospitality",
ameriprise financial,4.1,"Financial Services, Forbes Global 2000",
ameyo,3.5,"Internet, Hardware & Networking, IT Services & Consulting, Software Product",
ami lifesciences,3.8,"Healthcare, Pharma",
ami organics,3.8,"Pharma, Public",
amit metaliks,3.7,"Iron & Steel, Manufacturing, Metals & Mining",
amity gwalior,153,,Amity University Gwalior
amity haryana,114,,
amity jaipur,133,,Amity University Jaipur
amity software systems,4,"IT Services & Consulting, Software Product, Public",
amity university,25,,
amity university gwalior,153,,Amity Gwalior
amity university haryana,114,,Amity Haryana
amity university jaipur,133,,Amity Jaipur
ammann apollo,4.2,"Industrial Machinery, Manufacturing",
amneal pharmaceuticals,4.4,"Biotechnology, Clinical Research, Pharma",
amnet systems,4.2,IT Services & Consulting,
amnex infotechnologies,3.7,IT Services & Consulting,
amoda group of industries,4.1,Metals & Mining,
amoli organics,4,"Biotechnology, Clinical Research, Pharma",
amp motors,3.5,"Automobile, Retail",
amphenol fci,3.9,Electrical Equipment,
amphenol interconnect,4.2,"Manufacturing, Electronics, Electrical Equipment",
amphenol omniconnect - india,3.9,"Electronics Manufacturing, Electrical Equipment",
ample technologies,3.8,"IT Services & Consulting, Software Product",
amplus solar,4.6,Internet,
amps electrical facility services,3.6,"Electronics, Facility Management Services",
amrapali group,3.7,"Real Estate, Engineering & Construction",
amri hospital,4.1,Healthcare,
amrit bottlers,4.4,"Beverage, Packaging",
amrit cement,3.9,"Building Material, Manufacturing, Engineering & Construction",
amrita vishwa vidyapeetham,19,,
amrutanjan health care,3.9,"Pharma, Public",
ams comtel bpms,3.3,IT Services & Consulting,
amtech electronics,4,"Manufacturing, Electronics, Electronics Manufacturing",
amtek auto,3.9,"Industrial Machinery, Auto Components, Public",
amul dairy,4.1,"Agriculture, Food Processing",
